#TYPE System.Collections.DictionaryEntry
"Name","Key","Value"
"THEFT-GRAND AUTO Grand Theft Auto ","THEFT-GRAND AUTO Grand Theft Auto ","19"
"ROBBERY Robbery-Strong-Arm ","ROBBERY Robbery-Strong-Arm ","19"
"VEHICLE CODE Possession Fake Identification ","VEHICLE CODE Possession Fake Identification ","18"
"CRIMINAL THREATS Criminal Threats ","CRIMINAL THREATS Criminal Threats ","18"
"BURGLARY Burglary-Hot Prowl ","BURGLARY Burglary-Hot Prowl ","17"
"INCIDENT Domestic Dispute ","INCIDENT Domestic Dispute ","17"
"FIRE Alarm Activation ","FIRE Alarm Activation ","16"
"SEX OFFENSE Rape ","SEX OFFENSE Rape ","15"
"SERVICE Aid Other Department ","SERVICE Aid Other Department ","15"
"SERVICE Missing/Found Persons ","SERVICE Missing/Found Persons ","15"
"SEX OFFENSE Undetermined Sexual Assault ","SEX OFFENSE Undetermined Sexual Assault ","14"
"THEFT-PETTY Theft Petty-Plain-Attempt ","THEFT-PETTY Theft Petty-Plain-Attempt ","14"
"HARASSMENT Stalking ","HARASSMENT Stalking ","14"
"THEFT-GRAND PERSON Grand Theft Person ","THEFT-GRAND PERSON Grand Theft Person ","13"
"OBSCENE ACTIVITY Lewd Conduct ","OBSCENE ACTIVITY Lewd Conduct ","13"
"EXTORTION Extortion ","EXTORTION Extortion ","12"
"DOMESTIC VIOLENCE Willfull Infliction of Corporal Injury ","DOMESTIC VIOLENCE Willfull Infliction of Corporal Injury ","10"
"SUICIDE Attempt Suicide ","SUICIDE Attempt Suicide ","10"
"ASSAULT Assault-Other Dangerous Weapon ","ASSAULT Assault-Other Dangerous Weapon ","10"
"FIRE Fire-Residential ","FIRE Fire-Residential ","10"
"ROBBERY Robbery-Strong Arm-Attempt ","ROBBERY Robbery-Strong Arm-Attempt ","10"
"HEALTH & SAFETY Possession of Marijuana ","HEALTH & SAFETY Possession of Marijuana ","9"
"TRAFFIC Possession of Stolen Parking Permit ","TRAFFIC Possession of Stolen Parking Permit ","9"
"FIRE Alarm Malicious ","FIRE Alarm Malicious ","9"
"THEFT-GRAND AUTO Attempt Grand Theft Auto ","THEFT-GRAND AUTO Attempt Grand Theft Auto ","8"
"BURGLARY Burglary-Attempted-Commercial ","BURGLARY Burglary-Attempted-Commercial ","8"
"FIRE Fire-Commercial ","FIRE Fire-Commercial ","8"
"VEHICLE CODE Hit & Run - Felony ","VEHICLE CODE Hit & Run - Felony ","8"
"VEHICLE CODE Driving Under Influence ","VEHICLE CODE Driving Under Influence ","8"
"DISORDERLY CONDUCT Peeping Tom ","DISORDERLY CONDUCT Peeping Tom ","8"
"DOMESTIC VIOLENCE Dating Violence ","DOMESTIC VIOLENCE Dating Violence ","8"
"ASSAULT Assault-Knife or Cutting Instrument ","ASSAULT Assault-Knife or Cutting Instrument ","8"
"EH&S Gas Leak ","EH&S Gas Leak ","7"
"EH&S Hazardous Materials ","EH&S Hazardous Materials ","7"
"BURGLARY-OTHER Possession of Burglary Tools ","BURGLARY-OTHER Possession of Burglary Tools ","7"
"THEFT-GRAND Receiving Stolen Property ","THEFT-GRAND Receiving Stolen Property ","7"
"ROBBERY Robbery-Fear-Attempt ","ROBBERY Robbery-Fear-Attempt ","7"
"PROPERTY Recovered/Impounded Vehicle ","PROPERTY Recovered/Impounded Vehicle ","7"
"ROBBERY Robbery-Fear ","ROBBERY Robbery-Fear ","7"
"OBSCENE ACTIVITY Indecent Exposure ","OBSCENE ACTIVITY Indecent Exposure ","7"
"THEFT-PETTY Shoplifting ","THEFT-PETTY Shoplifting ","7"
"ROBBERY Robbery-Firearm ","ROBBERY Robbery-Firearm ","7"
"TRAFFIC Reckless Driver ","TRAFFIC Reckless Driver ","6"
"ALCOHOL Unlawful Possession of Alcohol ","ALCOHOL Unlawful Possession of Alcohol ","6"
"WEAPONS Possession of a Concealed Dirk or Dagger ","WEAPONS Possession of a Concealed Dirk or Dagger ","5"
"ARSON Arson-Residential ","ARSON Arson-Residential ","4"
"HARASSMENT Intimidation ","HARASSMENT Intimidation ","4"
"THEFT-FRAUD Embezzle Funds, Bad Checks, Forgery ","THEFT-FRAUD Embezzle Funds, Bad Checks, Forgery ","4"
"SERVICE Medical Escort ","SERVICE Medical Escort ","4"
"ADMINISTRATIVE Report Voided ","ADMINISTRATIVE Report Voided ","4"
"OFFICER STATUS Special Detail ","OFFICER STATUS Special Detail ","4"
"SUICIDE Suicide ","SUICIDE Suicide ","3"
"INCIDENT Business Dispute ","INCIDENT Business Dispute ","3"
"VEHICLE CODE Malicious Mischief to Vehicle ","VEHICLE CODE Malicious Mischief to Vehicle ","3"
"SEX OFFENSE Assault With Intent to Commit Sex Offense ","SEX OFFENSE Assault With Intent to Commit Sex Offense ","3"
"BATTERY Battery W/ Serious Injury ","BATTERY Battery W/ Serious Injury ","3"
"DEATH Death by Undetermined Cause ","DEATH Death by Undetermined Cause ","3"
"ALCOHOL Drinking In Public ","ALCOHOL Drinking In Public ","3"
"ASSAULT-OTHER Assault-Other Simple, Not Aggravated ","ASSAULT-OTHER Assault-Other Simple, Not Aggravated ","3"
"WARRANT WarrantArrest ","WARRANT WarrantArrest ","3"
"SERVICE Court Issued Restraining Order ","SERVICE Court Issued Restraining Order ","3"
"SEX OFFENSE Penetration by Foreign Object ","SEX OFFENSE Penetration by Foreign Object ","3"
"SEX OFFENSE Annoying or Molesting a Minor ","SEX OFFENSE Annoying or Molesting a Minor ","3"
"ALARM RESPONSE Gas Alarm ","ALARM RESPONSE Gas Alarm ","3"
"BURGLARY Burglary-Attempted-Residential ","BURGLARY Burglary-Attempted-Residential ","3"
"HARASSMENT Harrasment?Sexual ","HARASSMENT Harrasment?Sexual ","3"
"SERVICE Opening ","SERVICE Opening ","3"
"CHILD NEGLECT Juvenile Truancy/Curfew Violation ","CHILD NEGLECT Juvenile Truancy/Curfew Violation ","3"
"EH&S Slip, Trip & Fall Safety Hazard ","EH&S Slip, Trip & Fall Safety Hazard ","3"
"SEX OFFENSE Aquaintance Rape ","SEX OFFENSE Aquaintance Rape ","2"
"ROBBERY Robbery-Other Dangerous Weapon-Attempt ","ROBBERY Robbery-Other Dangerous Weapon-Attempt ","2"
"NARCOTICS Possession of Drug Paraphernalia ","NARCOTICS Possession of Drug Paraphernalia ","2"
"WEAPONS Brandishing AWeapon In a Deadly Manner ","WEAPONS Brandishing AWeapon In a Deadly Manner ","2"
"HATE INCIDENT Hate/Bias Incident ","HATE INCIDENT Hate/Bias Incident ","2"
"DEATH Death by Non-Criminal Cause ","DEATH Death by Non-Criminal Cause ","2"
"INCIDENT Dispute ","INCIDENT Dispute ","2"
"HARASSMENT Restraining Order Violation ","HARASSMENT Restraining Order Violation ","2"
"TRAFFIC Parking or Moving Violation ","TRAFFIC Parking or Moving Violation ","2"
"FIRE Fire-Trash ","FIRE Fire-Trash ","2"
"DISORDERLY CONDUCT Interfering/Resisting Arrest ","DISORDERLY CONDUCT Interfering/Resisting Arrest ","2"
"WARRANT Probation/Parole Violation ","WARRANT Probation/Parole Violation ","2"
"VEHICLE CODE Traffic Device Related Offense ","VEHICLE CODE Traffic Device Related Offense ","2"
"THEFT-TRICK Theft-Trick or Device ","THEFT-TRICK Theft-Trick or Device ","2"
"FIRE Fire-Vehicle ","FIRE Fire-Vehicle ","2"
"ALARM RESPONSE Roof Alarm ","ALARM RESPONSE Roof Alarm ","2"
"THEFT-GRAND Theft Grand-Trick or Device ","THEFT-GRAND Theft Grand-Trick or Device ","2"
"KIDNAPPING Kidnapping-General ","KIDNAPPING Kidnapping-General ","2"
"FIRE Fire-General ","FIRE Fire-General ","2"
"SEX OFFENSE Stranger Rape ","SEX OFFENSE Stranger Rape ","2"
"VEHICLE CODE Driving Without Consent ","VEHICLE CODE Driving Without Consent ","2"
"SEX OFFENSE Oral Copulation ","SEX OFFENSE Oral Copulation ","2"
"HOMICIDE Murder, Non-Negligent Manslaughter ","HOMICIDE Murder, Non-Negligent Manslaughter ","2"
"IDENTITYTHEFT Identity Theft ","IDENTITYTHEFT Identity Theft ","1"
"HEALTH & SAFETY Communicable Disease ","HEALTH & SAFETY Communicable Disease ","1"
"TRAFFIC Traffic Collision W?thout Injuries ","TRAFFIC Traffic Collision W?thout Injuries ","1"
"THEFT-MOTOR VEHICLE Attempt Theft From Motor Vehicle ","THEFT-MOTOR VEHICLE Attempt Theft From Motor Vehicle ","1"
"SERVICE Open Door ","SERVICE Open Door ","1"
"ARSON Arson-Attempt-Residential ","ARSON Arson-Attempt-Residential ","1"
"VEHICLE CODE Driving Under Infiuence ","VEHICLE CODE Driving Under Infiuence ","1"
"SERVICE Maintenance Request (Non-Lighting) ","SERVICE Maintenance Request (Non-Lighting) ","1"
"SEX OFFENSE Statutory Rape ","SEX OFFENSE Statutory Rape ","1"
"WEAPONS Possession of a Weapon On/Near School Grounds ","WEAPONS Possession of a Weapon On/Near School Grounds ","1"
"CHILD NEGLECT Contributing to Delinquincy ","CHILD NEGLECT Contributing to Delinquincy ","1"
"THEFT-FRAUD Defrauding An Innkeeper ","THEFT-FRAUD Defrauding An Innkeeper ","1"
"FIELD INTERVIEW An interview in the field ","FIELD INTERVIEW An interview in the field ","1"
"SEX OFFENSE Sexual Battery Attempt ","SEX OFFENSE Sexual Battery Attempt ","1"
"OFFICER STATUS Vehicle Shake ","OFFICER STATUS Vehicle Shake ","1"
"SEX OFFENSE Sodomy ","SEX OFFENSE Sodomy ","1"
"ARSON Arson-Attempt-Commercial ","ARSON Arson-Attempt-Commercial ","1"
"ASSAULT-OTHER Assault-Hazing ","ASSAULT-OTHER Assault-Hazing ","1"
"TRAFFIC Vehicle Trouble ","TRAFFIC Vehicle Trouble ","1"
"SEX OFFENSE Acquaintance-Attempt Rape ","SEX OFFENSE Acquaintance-Attempt Rape ","1"
"WEAPONS Possession of Metal Knuckles ","WEAPONS Possession of Metal Knuckles ","1"
"DOMESTIC VIOLENCE Wilfull Infliction of Corporal Injury ","DOMESTIC VIOLENCE Wilfull Infliction of Corporal Injury ","1"
"WEAPONS Brandishing A Weapon In a Deadly Manner ","WEAPONS Brandishing A Weapon In a Deadly Manner ","1"
"BURGLARY-MOTOR VEHICLE Burglary-Motor Vehicle-Attempt ","BURGLARY-MOTOR VEHICLE Burglary-Motor Vehicle-Attempt ","1"
"THEFT-PETTY Theft Petty-From Vending Machine ","THEFT-PETTY Theft Petty-From Vending Machine ","1"
"SERVICE Personal Escort ","SERVICE Personal Escort ","1"
"DPS officers responded to the location to assist LAPD officers in establishing a perimeter during a search for two possibly ","DPS officers responded to the location to assist LAPD officers in establishing a perimeter during a search for two possibly ","1"
"THEFT-GRAND PERSON Pick Pocket ","THEFT-GRAND PERSON Pick Pocket ","1"
"ROBBERY Robbery-Knife or Cutting Instrument ","ROBBERY Robbery-Knife or Cutting Instrument ","1"
"THEFT-ACCESS Unauthorized Computer Access ","THEFT-ACCESS Unauthorized Computer Access ","1"
"DISORDERLY CONDUCT Animal Cruelty ","DISORDERLY CONDUCT Animal Cruelty ","1"
"ALARM RESPONSE Intrusion Alarm-Door Forced Open ","ALARM RESPONSE Intrusion Alarm-Door Forced Open ","1"
"THEFT-GRAND PERSON Attempt Grand Theft Person ","THEFT-GRAND PERSON Attempt Grand Theft Person ","1"
"TRAFFIC Parking Problem ","TRAFFIC Parking Problem ","1"
"ADMINISTRATIVE Violence in the Work Place ","ADMINISTRATIVE Violence in the Work Place ","1"
"ADMINISTRATIVE Camera Observation ","ADMINISTRATIVE Camera Observation ","1"
"INCIDENT Suspicious Person ","INCIDENT Suspicious Person ","1"
"FIRE Report of Smoke ","FIRE Report of Smoke ","1"
