#TYPE System.Collections.DictionaryEntry
"Name","Key","Value"
"TRAFFIC Altered Parking Permit ","TRAFFIC Altered Parking Permit ","13"
"FIRE Alarm Malfunction ","FIRE Alarm Malfunction ","12"
"TRAFFIC Traffic Collision With Injuries ","TRAFFIC Traffic Collision With Injuries ","12"
"OBSCENE ACTIVITY Obscene, Annoying, Threatening Phone Calls ","OBSCENE ACTIVITY Obscene, Annoying, Threatening Phone Calls ","12"
"IDENTITY THEFT Identity Theft ","IDENTITY THEFT Identity Theft ","11"
"PROPERTY Recovered/Impounded Bicycle ","PROPERTY Recovered/Impounded Bicycle ","11"
"FIRE Alarm Smoke ","FIRE Alarm Smoke ","10"
"THEFT-GRAND AUTO Grand Theft Auto ","THEFT-GRAND AUTO Grand Theft Auto ","10"
"HARASSMENT Harassment ","HARASSMENT Harassment ","8"
"SERVICE Aid Other Department ","SERVICE Aid Other Department ","7"
"NARCOTICS Possession ofa Controlled Substance ","NARCOTICS Possession ofa Controlled Substance ","7"
"TRAFFIC Traffic Collision-Pedestrian ","TRAFFIC Traffic Collision-Pedestrian ","7"
"BURGLARY Burglary-Hot Prowl ","BURGLARY Burglary-Hot Prowl ","6"
"SUICIDE Attempt Suicide ","SUICIDE Attempt Suicide ","6"
"VANDALISM Vandalism-Felony ","VANDALISM Vandalism-Felony ","6"
"DISORDERLY CONDUCT Prowling, Loitering ","DISORDERLY CONDUCT Prowling, Loitering ","6"
"SEX OFFENSE Undetermined Sexual Assault ","SEX OFFENSE Undetermined Sexual Assault ","6"
"SERVICE Person Stuck In Elevator ","SERVICE Person Stuck In Elevator ","6"
"EXTORTION Extortion ","EXTORTION Extortion ","6"
"EH&S Water Leak ","EH&S Water Leak ","6"
"BURGLARY Burglary-Residential ","BURGLARY Burglary-Residential ","6"
"VEHICLE CODE Possession Fake Identification ","VEHICLE CODE Possession Fake Identification ","6"
"BURGLARY-MOTORVEHICLE Burglary-MotorVehicle ","BURGLARY-MOTORVEHICLE Burglary-MotorVehicle ","5"
"HEALTH & SAFETY Possession of Marijuana ","HEALTH & SAFETY Possession of Marijuana ","5"
"ROBBERY Robbery-Strong-Arm ","ROBBERY Robbery-Strong-Arm ","5"
"SERVICE Missing/Found Persons ","SERVICE Missing/Found Persons ","5"
"FIRE Alarm Accidental ","FIRE Alarm Accidental ","5"
"TRAFFIC Traf?c Collision V\?thout Injuries ","TRAFFIC Traf?c Collision V\?thout Injuries ","5"
"CRIMINAL THREATS Criminal Threats ","CRIMINAL THREATS Criminal Threats ","5"
"FRAUD Fraud-General ","FRAUD Fraud-General ","5"
"HARASSMENT Stalking ","HARASSMENT Stalking ","4"
"SEX OFFENSE Rape ","SEX OFFENSE Rape ","4"
"ADMINISTRATIVE Report Voided ","ADMINISTRATIVE Report Voided ","4"
"LA MUNICIPAL CODE Loud and Raucous Noise ","LA MUNICIPAL CODE Loud and Raucous Noise ","4"
"EH&S Smell of Smoke, Odor, Non-Fire ","EH&S Smell of Smoke, Odor, Non-Fire ","4"
"THEFT-PETTY ","THEFT-PETTY ","3"
"ASSAULT Assault-Knife or Cutting Instrument ","ASSAULT Assault-Knife or Cutting Instrument ","3"
"ALCOHOL Unlawful Possession of Alcohol ","ALCOHOL Unlawful Possession of Alcohol ","3"
"ROBBERY Robbery-Strong Arm-Attempt ","ROBBERY Robbery-Strong Arm-Attempt ","3"
"VAN DALISM Vandalism-Misdemeanor ","VAN DALISM Vandalism-Misdemeanor ","3"
"HARASSMENT Intimidation ","HARASSMENT Intimidation ","3"
"DOMESTIC VIOLENCE Willfull Infliction of Corporal Injury ","DOMESTIC VIOLENCE Willfull Infliction of Corporal Injury ","3"
"EH&S Gas Leak ","EH&S Gas Leak ","3"
"SEX OFFENSE Aquaintance Rape ","SEX OFFENSE Aquaintance Rape ","2"
"THEFT-PETTY Theft Petty-PIain-Attempt ","THEFT-PETTY Theft Petty-PIain-Attempt ","2"
"ASSAULT-OTHER Assault-Other Simple, Not Aggravated ","ASSAULT-OTHER Assault-Other Simple, Not Aggravated ","2"
"INCIDENT Domestic Dispute ","INCIDENT Domestic Dispute ","2"
"FIRE Fire-Residential ","FIRE Fire-Residential ","2"
"DOMESTIC VIOLENCE Dating Violence ","DOMESTIC VIOLENCE Dating Violence ","2"
"TRAFFIC Traf?c Collision V\?th Injuries ","TRAFFIC Traf?c Collision V\?th Injuries ","2"
"TRAFFIC Possession of Stolen Parking Permit ","TRAFFIC Possession of Stolen Parking Permit ","2"
"BURGLARY Burglary-Attempted-Residential ","BURGLARY Burglary-Attempted-Residential ","2"
"SEX OFFENSE Stranger Rape ","SEX OFFENSE Stranger Rape ","2"
"VEHICLE CODE Hit & Run - Felony ","VEHICLE CODE Hit & Run - Felony ","2"
"INCIDENT Business Dispute ","INCIDENT Business Dispute ","2"
"DISORDERLY CONDUCT Peeping Tom ","DISORDERLY CONDUCT Peeping Tom ","2"
"THEFT-GRAND PERSON Pick Pocket ","THEFT-GRAND PERSON Pick Pocket ","1"
"SERVICE Opening ","SERVICE Opening ","1"
"SEX OFFENSE Statutory Rape ","SEX OFFENSE Statutory Rape ","1"
"BURGLARY-MOTOR VEHICLE Burglary-Motor Vehicle-Attempt ","BURGLARY-MOTOR VEHICLE Burglary-Motor Vehicle-Attempt ","1"
"THEFT-PETTY Theft Petty-From Vending Machine ","THEFT-PETTY Theft Petty-From Vending Machine ","1"
"THEFT-MOTOR VEHICLE ","THEFT-MOTOR VEHICLE ","1"
"PROPERTY ","PROPERTY ","1"
"FIELD INTERVIEW An interview in the field ","FIELD INTERVIEW An interview in the field ","1"
"VEHICLE CODE Driving Without Consent ","VEHICLE CODE Driving Without Consent ","1"
"OBSCENE ACTIVITY Indecent Exposure ","OBSCENE ACTIVITY Indecent Exposure ","1"
"IDENTITYTHEFT Identity Theft ","IDENTITYTHEFT Identity Theft ","1"
"DISORDERLY CONDUCT Animal Cruelty ","DISORDERLY CONDUCT Animal Cruelty ","1"
"TRAFFIC Reckless Driver ","TRAFFIC Reckless Driver ","1"
"ARSON Arson-Residential ","ARSON Arson-Residential ","1"
"FIRE Report of Smoke ","FIRE Report of Smoke ","1"
"VEHICLE CODE Driving Under In?uence ","VEHICLE CODE Driving Under In?uence ","1"
"HARASSMENT Restraining Order Violation ","HARASSMENT Restraining Order Violation ","1"
"SERVICE Medical Escort ","SERVICE Medical Escort ","1"
"SERVICE ","SERVICE ","1"
"FIRE Fire-Vehicle ","FIRE Fire-Vehicle ","1"
"DOMESTIC VIOLENCE VWlfull Infliction of Corporal Injury ","DOMESTIC VIOLENCE VWlfull Infliction of Corporal Injury ","1"
"ROBBERY Robbery-Other Dangerous Weapon-Attempt ","ROBBERY Robbery-Other Dangerous Weapon-Attempt ","1"
"SEX OFFENSE Acquaintance-Attempt Rape ","SEX OFFENSE Acquaintance-Attempt Rape ","1"
"THEFT-PETTY Theft Petty-Plain-Attempt ","THEFT-PETTY Theft Petty-Plain-Attempt ","1"
"DEATH Death by Non-Criminal Cause ","DEATH Death by Non-Criminal Cause ","1"
"HATE INCIDENT Hate/Bias Incident ","HATE INCIDENT Hate/Bias Incident ","1"
"INCIDENT Suspicious Person ","INCIDENT Suspicious Person ","1"
"WEAPONS Possession ofa Weapon On/Near School Grounds ","WEAPONS Possession ofa Weapon On/Near School Grounds ","1"
"SUICIDE Suicide ","SUICIDE Suicide ","1"
"ASSAULT Assault-Other Dangerous Weapon ","ASSAULT Assault-Other Dangerous Weapon ","1"
"FIRE Fire-Commercial ","FIRE Fire-Commercial ","1"
"DEATH Death by Undetermined Cause ","DEATH Death by Undetermined Cause ","1"
"THEFT-FRAUD Embezzle Funds, Bad Checks, Forgery ","THEFT-FRAUD Embezzle Funds, Bad Checks, Forgery ","1"
"EH&S Hazardous Materials ","EH&S Hazardous Materials ","1"
"CHILD NEGLECT Juvenile Truancy/Curfew Violation ","CHILD NEGLECT Juvenile Truancy/Curfew Violation ","1"
"WEAPONS Possession ofa Concealed Dirk or Dagger ","WEAPONS Possession ofa Concealed Dirk or Dagger ","1"
"DISORDERLY CONDUCT Interfering/Resisting Arrest ","DISORDERLY CONDUCT Interfering/Resisting Arrest ","1"
"THEFT-GRAND PERSON Grand Theft Person ","THEFT-GRAND PERSON Grand Theft Person ","1"
"THEFT-MOTORVEHICLE Theftfrom MotorVehicle ","THEFT-MOTORVEHICLE Theftfrom MotorVehicle ","1"
"THEFT-PETTY Shoplifting ","THEFT-PETTY Shoplifting ","1"
"SEX OFFENSE Penetration by Foreign Object ","SEX OFFENSE Penetration by Foreign Object ","1"
"ROBBERY Robbery-Fear ","ROBBERY Robbery-Fear ","1"
"ROBBERY Robbery-Fear-Attempt ","ROBBERY Robbery-Fear-Attempt ","1"
"ALCOHOL Drinking In Public ","ALCOHOL Drinking In Public ","1"
"FIRE Alarm Malicious ","FIRE Alarm Malicious ","1"
"PROPERTY Recovered/Impounded Vehicle ","PROPERTY Recovered/Impounded Vehicle ","1"
"FIRE Fire-Trash ","FIRE Fire-Trash ","1"
"VAN DALISM Vandalism-Felony ","VAN DALISM Vandalism-Felony ","1"
"THEFT-GRAND AUTO Attempt Grand Theft Auto ","THEFT-GRAND AUTO Attempt Grand Theft Auto ","1"
"SERVICE Open Door ","SERVICE Open Door ","1"
"SEX OFFENSE Annoying or Molesting a Minor ","SEX OFFENSE Annoying or Molesting a Minor ","1"
"BURGLARY-MOTORVEHICLE Burglary-MotorVehicIe ","BURGLARY-MOTORVEHICLE Burglary-MotorVehicIe ","1"
"SERVICE Court Issued Restraining Order ","SERVICE Court Issued Restraining Order ","1"
"FIRE Alarm Activation ","FIRE Alarm Activation ","1"
"WEAPONS Brandishing AWeapon In a Deadly Manner ","WEAPONS Brandishing AWeapon In a Deadly Manner ","1"
