#TYPE System.Collections.DictionaryEntry
"Name","Key","Value"
"HARASSMENT Harrasment?Sexual","HARASSMENT Harrasment?Sexual","2"
"HARASSMENT Intimidation","HARASSMENT Intimidation","1"
"HARASSMENT Restraining Order Violation","HARASSMENT Restraining Order Violation","1"
"HARASSMENT Stalking","HARASSMENT Stalking","6"
"HATE INCIDENT Hate/Bias Incident","HATE INCIDENT Hate/Bias Incident","2"
"HEALTH & SAFETY Communicable Disease","HEALTH & SAFETY Communicable Disease","1"
"HEALTH & SAFETY Possession of Marijuana","HEALTH & SAFETY Possession of Marijuana","4"
"HOMICIDE Murder, Non-Negligent Manslaughter","HOMICIDE Murder, Non-Negligent Manslaughter","1"
"IDENTITY THEFT Identity Theft","IDENTITY THEFT Identity Theft","30"
"INCIDENT Business Dispute","INCIDENT Business Dispute","1"
"INCIDENT Dispute","INCIDENT Dispute","2"
"INCIDENT Domestic Dispute","INCIDENT Domestic Dispute","16"
"KIDNAPPING Kidnapping-General","KIDNAPPING Kidnapping-General","1"
"LA MUNICIPAL CODE Loud and Raucous Noise","LA MUNICIPAL CODE Loud and Raucous Noise","27"
"NARCOTICS Possession of Drug Paraphernalia","NARCOTICS Possession of Drug Paraphernalia","3"
"NARCOTICS Possession ofa Controlled Substance","NARCOTICS Possession ofa Controlled Substance","16"
"OBSCENE ACTIVITY Indecent Exposure","OBSCENE ACTIVITY Indecent Exposure","6"
"OBSCENE ACTIVITY Lewd Conduct","OBSCENE ACTIVITY Lewd Conduct","10"
"OBSCENE ACTIVITY Obscene, Annoying, Threatening Phone Calls","OBSCENE ACTIVITY Obscene, Annoying, Threatening Phone Calls","25"
"OFFICER STATUS Special Detail","OFFICER STATUS Special Detail","2"
"OFFICER STATUS Vehicle Shake","OFFICER STATUS Vehicle Shake","1"
"PROPERTY Damaged Property","PROPERTY Damaged Property","155"
"PROPERTY Lost/Missing Property","PROPERTY Lost/Missing Property","172"
"PROPERTY Recovered Property Without a Crime","PROPERTY Recovered Property Without a Crime","232"
"PROPERTY Recovered Property Withouta Crime","PROPERTY Recovered Property Withouta Crime","14"
"PROPERTY Recovered/Impounded Bicycle","PROPERTY Recovered/Impounded Bicycle","61"
"PROPERTY Recovered/Impounded Vehicle","PROPERTY Recovered/Impounded Vehicle","4"
"ROBBERY Robbery-Fear","ROBBERY Robbery-Fear","4"
"ROBBERY Robbery-Fear-Attempt","ROBBERY Robbery-Fear-Attempt","5"
"ROBBERY Robbery-Firearm","ROBBERY Robbery-Firearm","7"
"ROBBERY Robbery-Knife or Cutting Instrument","ROBBERY Robbery-Knife or Cutting Instrument","1"
"ROBBERY Robbery-Other Dangerous Weapon-Attempt","ROBBERY Robbery-Other Dangerous Weapon-Attempt","1"
"ROBBERY Robbery-Strong Arm-Attempt","ROBBERY Robbery-Strong Arm-Attempt","7"
"ROBBERY Robbery-Strong-Arm","ROBBERY Robbery-Strong-Arm","11"
"SERVICE Aid Other Department","SERVICE Aid Other Department","10"
"SERVICE Commitment To Mental Health For 72 Hrs","SERVICE Commitment To Mental Health For 72 Hrs","57"
"SERVICE Court Issued Restraining Order","SERVICE Court Issued Restraining Order","2"
"SERVICE Illness Response","SERVICE Illness Response","437"
"SERVICE Injury Response","SERVICE Injury Response","278"
"SERVICE Maintenance Request (Non-Lighting)","SERVICE Maintenance Request (Non-Lighting)","1"
"SERVICE Medical Escort","SERVICE Medical Escort","3"
"SERVICE Missing/Found Persons","SERVICE Missing/Found Persons","9"
"SERVICE Opening","SERVICE Opening","2"
"SERVICE Person Stuck In Elevator","SERVICE Person Stuck In Elevator","22"
"SERVICE Personal Escort","SERVICE Personal Escort","1"
"SERVICE Suspicious Circumstances","SERVICE Suspicious Circumstances","196"
"SERVICE Welfare Check","SERVICE Welfare Check","46"
"SEX OFFENSE Annoying or Molesting a Minor","SEX OFFENSE Annoying or Molesting a Minor","2"
"SEX OFFENSE Assault V\?th Intent to Commit Sex Offense","SEX OFFENSE Assault V\?th Intent to Commit Sex Offense","2"
"SEX OFFENSE Oral Copulation","SEX OFFENSE Oral Copulation","2"
"SEX OFFENSE Penetration by Foreign Object","SEX OFFENSE Penetration by Foreign Object","2"
"SEX OFFENSE Rape","SEX OFFENSE Rape","11"
"SEX OFFENSE Sexual Battery","SEX OFFENSE Sexual Battery","22"
"SEX OFFENSE Sexual Battery Attempt","SEX OFFENSE Sexual Battery Attempt","1"
"SEX OFFENSE Sodomy","SEX OFFENSE Sodomy","1"
"SEX OFFENSE Undetermined Sexual Assault","SEX OFFENSE Undetermined Sexual Assault","6"
"SUICIDE Attempt Suicide","SUICIDE Attempt Suicide","6"
"SUICIDE Suicide","SUICIDE Suicide","1"
"TH EFT-ACCESS Unauthorized Computer Access","TH EFT-ACCESS Unauthorized Computer Access","1"
"THEFT-FRAUD Defrauding An Innkeeper","THEFT-FRAUD Defrauding An Innkeeper","1"
"THEFT-FRAUD Embezzle Funds, Bad Checks, Forgery","THEFT-FRAUD Embezzle Funds, Bad Checks, Forgery","2"
"THEFT-G RAND Theft Grand-Trick or Device","THEFT-G RAND Theft Grand-Trick or Device","2"
"THEFT-GRAND AUTO Attempt Grand Theft Auto","THEFT-GRAND AUTO Attempt Grand Theft Auto","6"
"THEFT-GRAND AUTO Grand Theft Auto","THEFT-GRAND AUTO Grand Theft Auto","8"
"THEFT-GRAND PERSON Grand Theft Person","THEFT-GRAND PERSON Grand Theft Person","11"
"THEFT-GRAND Receiving Stolen Property","THEFT-GRAND Receiving Stolen Property","7"
"THEFT-GRAND Theft Grand-Plain","THEFT-GRAND Theft Grand-Plain","93"
"THEFT-MOTOR VEHICLE Attempt Theft From Motor Vehicle","THEFT-MOTOR VEHICLE Attempt Theft From Motor Vehicle","1"
"THEFT-MOTOR VEHICLE Theft from Motor Vehicle","THEFT-MOTOR VEHICLE Theft from Motor Vehicle","62"
"THEFT-MOTORVEHICLE Theftfrom MotorVehicIe","THEFT-MOTORVEHICLE Theftfrom MotorVehicIe","4"
"THEFT-MOTORVEHICLE Theftfrom MotorVehicle","THEFT-MOTORVEHICLE Theftfrom MotorVehicle","5"
"THEFT-PETTY Shoplifting","THEFT-PETTY Shoplifting","4"
"THEFT-PETTY Theft Petty-PIain-Attempt","THEFT-PETTY Theft Petty-PIain-Attempt","6"
"THEFT-PETTY Theft Petty-Plain","THEFT-PETTY Theft Petty-Plain","858"
"THEFT-PETTY Theft Petty-Plain-Attempt","THEFT-PETTY Theft Petty-Plain-Attempt","5"
"THEFT-TRICK Theft-Trick or Device","THEFT-TRICK Theft-Trick or Device","1"
"THEFT-TRICK Theft-Trickor Device","THEFT-TRICK Theft-Trickor Device","1"
"TRAFFIC Altered Parking Permit","TRAFFIC Altered Parking Permit","27"
"TRAFFIC Parking or Moving Violation","TRAFFIC Parking or Moving Violation","1"
"TRAFFIC Parking Problem","TRAFFIC Parking Problem","1"
"TRAFFIC Possession of Stolen Parking Permit","TRAFFIC Possession of Stolen Parking Permit","7"
"TRAFFIC Reckless Driver","TRAFFIC Reckless Driver","5"
"TRAFFIC Traffic Collision V\?th Injuries","TRAFFIC Traffic Collision V\?th Injuries","30"
"TRAFFIC Traffic Collision V\?thout Injuries","TRAFFIC Traffic Collision V\?thout Injuries","182"
"TRAFFIC Traf?c Collision V\?th Injuries","TRAFFIC Traf?c Collision V\?th Injuries","1"
"TRAFFIC Traf?c Collision V\?thout Injuries","TRAFFIC Traf?c Collision V\?thout Injuries","9"
"TRAFFIC Traffic Collision-Bicycle","TRAFFIC Traffic Collision-Bicycle","34"
"TRAFFIC Traffic Collision-Pedestrian","TRAFFIC Traffic Collision-Pedestrian","17"
"TRAFFIC Vehicle Trouble","TRAFFIC Vehicle Trouble","1"
"TRESPASS Trespassing","TRESPASS Trespassing","56"
"VAN DALISM Vandalism-Felony","VAN DALISM Vandalism-Felony","9"
"VAN DALISM Vandalism-Misdemeanor","VAN DALISM Vandalism-Misdemeanor","19"
"VANDALISM Vandalism-Felony","VANDALISM Vandalism-Felony","23"
"VANDALISM Vandalism-Misdemeanor","VANDALISM Vandalism-Misdemeanor","62"
"VEHICLE CODE Driving Under In?uence","VEHICLE CODE Driving Under In?uence","6"
"VEHICLE CODE Hit & Run - Felony","VEHICLE CODE Hit & Run - Felony","6"
"VEHICLE CODE Hit & Run - Misdemeanor","VEHICLE CODE Hit & Run - Misdemeanor","52"
"VEHICLE CODE Malicious Mischief to Vehicle","VEHICLE CODE Malicious Mischief to Vehicle","4"
"VEHICLE CODE Possession Fake Identification","VEHICLE CODE Possession Fake Identification","12"
"VEHICLE CODE Traffic Device Related Offense","VEHICLE CODE Traffic Device Related Offense","3"
"WARRANT Probation/Parole Violation","WARRANT Probation/Parole Violation","2"
"WARRANT Warrant Arrest","WARRANT Warrant Arrest","68"
"WARRANT WarrantArrest","WARRANT WarrantArrest","3"
"WEAPONS Brandishing AWeapon In a Deadly Manner","WEAPONS Brandishing AWeapon In a Deadly Manner","2"
"WEAPONS Possession of Metal Knuckles","WEAPONS Possession of Metal Knuckles","1"
"WEAPONS Possession ofa Concealed Dirk or Dagger","WEAPONS Possession ofa Concealed Dirk or Dagger","2"
